Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
165617,74601703,G,9.6987,-9.5104,0.3662,1.8633,9.5175,0.1945,3.1031,-1,G,9.7633,7.3277,-1.1524,6.3473,7.4178,0.7756,-0.1560,1,17.4922
165617,75100943,G,6.2039,-4.2666,0.4565,-4.4793,4.2910,-0.9121,3.0350,-1,G,9.6690,7.2740,-2.8211,-5.7104,7.8019,-0.6786,-0.3700,1,11.5534
165617,75587682,G,19.2892,-4.2121,-0.6516,18.8121,4.2622,2.1905,-2.9881,-1,G,9.8244,4.3439,-0.4735,8.7985,4.3697,1.4497,-0.1086,1,9.1636
165617,75660978,G,7.0427,-6.3268,-0.2685,3.0802,6.3325,0.4690,-3.0992,-1,G,5.5857,4.4748,0.8489,-3.2319,4.5546,-0.6605,0.1875,1,12.4774
165617,75947690,G,7.2751,0.1030,-5.5331,-4.7212,5.5340,-0.7736,-1.5522,-1,G,7.3181,-0.3988,6.9408,2.2825,6.9523,0.3227,1.6282,1,14.3159
165617,74570517,G,14.9422,-9.1744,-10.3203,-5.7079,13.8087,-0.4024,-2.2975,-1,T,2.9879,-0.9862,0.3541,-2.7962,1.0479,-1.7080,2.7969,1,6.8270
165617,74697773,G,41.9538,-1.4794,-12.4648,40.0319,12.5523,1.8766,-1.6889,-1,G,10.1005,1.6238,7.5299,-6.5324,7.7030,-0.7697,1.3584,1,39.5356
165617,74704205,G,14.4304,-4.3408,-6.0729,-12.3492,7.4648,-1.2774,-2.1914,1,G,24.7433,9.4061,8.6181,21.2008,12.7572,1.2813,0.7417,-1,37.7372
165617,75167029,G,9.7583,2.3903,-3.7824,8.6715,4.4744,1.4156,-1.0072,-1,G,13.5684,-3.3975,5.1910,12.0665,6.2039,1.4187,2.1503,1,10.5391
165617,75206813,G,10.1623,0.4763,-8.5164,5.5231,8.5297,0.6091,-1.5149,-1,G,19.7754,2.7508,-13.9871,13.7059,14.2550,0.8539,-1.3766,1,3.1132
165617,75281957,G,9.6365,1.6516,-5.4313,7.7862,5.6769,1.1213,-1.2756,1,G,7.0263,-1.6449,4.4418,5.1887,4.7366,0.9473,1.9255,-1,10.4079
165617,75330864,G,12.5078,-2.8694,5.6592,-10.7784,6.3451,-1.3002,2.0400,1,G,13.5187,3.0863,-7.8146,-10.5901,8.4019,-1.0541,-1.1947,-1,14.6994
165617,75386136,G,14.5274,6.5173,-6.2037,11.4050,8.9978,1.0585,-0.7608,1,G,17.1620,7.9890,-6.6271,13.6668,10.3799,1.0886,-0.6925,-1,0.7514
165617,75393376,G,6.0112,3.3614,2.8883,4.0598,4.4318,0.8208,0.7098,-1,G,7.7557,-5.0416,-3.0126,5.0642,5.8731,0.7806,-2.6030,1,10.1706
165617,74431562,G,26.4160,-12.8350,-5.8874,-22.3247,14.1209,-1.2389,-2.7115,1,G,38.5893,13.6568,10.2920,-34.5932,17.1007,-1.4538,0.6458,-1,31.0799
165617,74452546,G,12.0723,-3.7322,2.5104,-11.2026,4.4979,-1.6437,2.5495,-1,G,10.4401,3.3546,-3.4202,-9.2754,4.7908,-1.4147,-0.7951,1,9.3000
165617,74496866,G,6.2237,-0.5092,4.2098,-4.5542,4.2405,-0.9327,1.6912,-1,G,5.7566,-0.5308,-5.4727,1.7016,5.4984,0.3047,-1.6675,1,11.5201
165617,74635178,G,18.2409,7.5432,1.8800,16.5011,7.5393,1.4969,0.2448,1,G,4.1406,-3.9333,-1.2788,0.1643,4.1359,0.0397,-2.8273,-1,14.4845
165617,74642386,G,31.2704,0.1273,-8.0575,30.2140,8.0585,2.0320,-1.5550,1,G,15.8815,-1.1541,-7.7075,13.8374,7.7934,1.3385,-1.7194,-1,5.7607
165617,74751994,G,44.2247,8.0926,7.9203,42.7504,11.3235,2.0387,0.7746,-1,G,17.1959,-2.8559,-3.2371,16.6449,4.3168,2.0591,-2.2937,1,13.9764
165617,74783970,G,21.4339,5.1097,3.8105,20.4639,6.3741,1.8830,0.6408,-1,G,5.1374,-3.4169,-3.6961,1.0220,5.0336,0.2017,-2.3170,1,15.5406
165617,74969122,G,59.9226,-46.1516,29.4115,-24.4070,54.7266,-0.4324,2.5742,1,G,52.4465,30.1097,-16.3989,-39.6876,34.2859,-0.9885,-0.4987,-1,89.9557
165617,75075850,G,14.9005,-3.9472,7.7837,12.0767,8.7273,1.1285,2.0401,-1,G,5.4707,-4.5512,0.2216,-3.0255,4.5566,-0.6229,3.0930,1,14.0268
165617,75215378,G,9.1080,-4.4926,-6.6885,4.2456,8.0573,0.5052,-2.1623,-1,G,11.1368,-5.2616,-8.2922,5.2510,9.8206,0.5120,-2.1362,1,0.3202
165617,75244714,G,6.3414,4.7027,-2.5277,-3.4201,5.3390,-0.6033,-0.4932,1,G,7.2708,-5.4635,1.0653,-4.6763,5.5508,-0.7635,2.9491,-1,10.8177
165617,75392933,G,5.1752,-2.7256,-4.0764,-1.6507,4.9037,-0.3306,-2.1602,-1,G,6.8739,4.2175,2.8690,4.6066,5.1008,0.8112,0.5973,1,11.5221
165617,75447381,G,17.6190,5.7625,0.7634,16.6321,5.8129,1.7736,0.1317,1,G,8.9726,-4.5331,-0.1193,7.7417,4.5347,1.3045,-3.1153,-1,10.5406
165617,75548869,G,15.0038,2.5335,-6.3023,-13.3778,6.7925,-1.4299,-1.1886,1,G,19.2025,-4.0352,17.8477,-5.8224,18.2982,-0.3131,1.7932,-1,25.8044
165617,75783677,G,19.1211,4.1248,-4.6075,18.0931,6.1841,1.7947,-0.8406,1,G,4.6465,-2.1623,3.9568,-1.1168,4.5091,-0.2452,2.0709,-1,16.5054
165617,75881501,G,13.3713,-0.2701,-7.2267,-11.2464,7.2318,-1.2250,-1.6081,-1,G,17.5352,10.7085,3.5351,-13.4277,11.2769,-1.0100,0.3189,1,14.9603
165617,74593061,G,16.0592,5.5346,-1.9218,-14.9519,5.8588,-1.6664,-0.3342,-1,G,22.2287,-4.3619,0.3029,21.7942,4.3724,2.3094,3.0723,1,37.6185
165617,74834701,G,5.5286,5.2018,-1.0133,-1.5712,5.2996,-0.2923,-0.1924,1,G,17.4505,-14.8239,1.3459,-9.1077,14.8849,-0.5790,3.0511,-1,17.9250
165617,74889301,G,9.9959,-9.3891,3.4129,-0.3222,9.9902,-0.0322,2.7929,-1,G,11.4711,7.6847,-3.6752,-7.6820,8.5184,-0.8102,-0.4461,1,19.8443
165617,74949533,G,10.1639,3.0601,3.5119,-9.0330,4.6580,-1.4161,0.8540,1,G,4.0132,-1.9435,-3.1497,-1.5481,3.7010,-0.4070,-2.1237,-1,9.3622
165617,75023853,G,11.2630,5.6561,-1.6178,-9.6039,5.8830,-1.2661,-0.2786,-1,G,13.8925,-12.4484,5.2914,-3.1672,13.5263,-0.2321,2.7397,1,20.2502
165617,75022229,G,19.2310,5.6384,6.9294,17.0297,8.9336,1.4009,0.8878,-1,G,7.1654,-5.0421,-4.8565,-1.5241,7.0006,-0.2160,-2.3750,1,21.2531
165617,75138253,G,97.1011,-23.6144,6.6660,-93.9497,24.5372,-2.0524,2.8665,-1,G,30.5992,-11.6134,-25.9848,11.2347,28.4619,0.3851,-1.9911,1,88.6081
